 libappindicator-gtk3, Allow applications to extend a menu via Ayatana indicators in Unity KDE or Systray (GTK+ 3 library)
 libarchive, Multi-format archive and compression library
 libart-lgpl, A library for high-performance 2D graphics
 libass, A portable library for SSA/ASS subtitles rendering
 libassuan, IPC library used by some GnuPG related software
 libasyncns, A C library for executing name service queries asynchronously
 libatasmart, ATA S.M.A.R.T. reader and parser library
 libatomic_ops, Provides semi-portable access to hardware provided atomic memory operations
 libavc1394, Library to control A/V devices using the 1394 TA AV/C commands
 libavif, Library for encoding and decoding .avif files
 libb2, C library providing BLAKE2b BLAKE2s BLAKE2bp BLAKE2sp hash functions
 libblockdev, A library for manipulating block devices
 libblockdev-crypto, A library for manipulating block devices - crypto support
 libblockdev-fs, A library for manipulating block devices - filesystem support
 libblockdev-loop, A library for manipulating block devices - loop device support
 libblockdev-mdraid, A library for manipulating block devices - MDRAID support
 libblockdev-nvme, A library for manipulating block devices - NVME support
 libblockdev-part, A library for manipulating block devices - partitioning support
 libblockdev-swap, A library for manipulating block devices - swap device support
 libbluray, Library to access Blu-Ray disks for video playback
 libbpf, Library for loading eBPF programs and reading and manipulating eBPF objects from user-space
 libbs2b, Bauer stereophonic-to-binaural DSP effect library
 libbsd, Provides useful functions commonly found on BSD systems like strlcpy()
 libbytesize, A tiny library providing a C "class" for working with arbitrary big sizes in bytes
 libcamera, A complex camera support library for Linux Android and ChromeOS
 libcamera-ipa, A complex camera support library for Linux Android and ChromeOS - signed IPA
 libcanberra, A small and lightweight implementation of the XDG Sound Theme Specification
 libcap, POSIX 1003.1e capabilities
 libcap-ng, A library for Linux that makes using posix capabilities easy
 libcdio, GNU Compact Disc Input and Control Library
 libcdio-paranoia, Compact Disc Digital Audio (CDDA) extraction tool using libcdio for CDROM access
 libcdr, CorelDraw file format importer library for LibreOffice
 libcloudproviders, DBus API that allows cloud storage sync clients to expose their services
 libcmis, a C/C++ client library for the CMIS protocol
 libcolord, System daemon for managing color devices (client library)
 libconfig, C/C++ Configuration File Library
 libcups, OpenPrinting CUPS - client libraries and headers
 libcupsfilters, OpenPrinting CUPS Filters - contains all the code of the filters of the former cups-filters package as library functions
 libcurl-gnutls, command line tool and library for transferring data with URLs (no versioned symbols linked against gnutls)
 libdaemon, Lightweight C library that eases the writing of UNIX daemons
 libdatrie, Double-array trie library
 libdbusmenu-glib, Library for passing menus over DBus
 libdbusmenu-gtk3, Library for passing menus over DBus (GTK+ 3 library)
 libdca, Library for decoding DTS Coherent Acoustics streams
 libde265, Open h.265 video codec implementation
 libdeflate, Heavily optimized library for DEFLATE/zlib/gzip compression and decompression
 libdiscid, A Library for creating MusicBrainz DiscIDs
 libdispatch, Comprehensive support for concurrent code execution on multicore hardware
 libdovi, Library to read and write Dolby Vision metadata
 libdrm, Userspace interface to kernel DRM services
 libdvbpsi, Library designed for decoding and generation of MPEG TS and DVB PSI tables
 libdvdnav, Library to navigate DVD video disks
 libdvdread, Library for reading DVD video disks
 libe-book, Library for import of reflowable e-book formats.
 libebml, Extensible Binary Meta Language library
 libebur128, A library that implements the EBU R 128 standard for loudness normalisation
 libedit, Command line editor library providing generic line editing history and tokenization functions
 libei, Library for Emulated Input
 libelf, Handle ELF object files and DWARF debugging information (libraries)
 libepoxy, Library handling OpenGL function pointer management
 libepubgen, an EPUB generator for librevenge
 libertinus-font, Fonts based on Linux Libertine/Biolinum with extended math support
 libetonyek, Library and a set of tools for reading and converting Apple Keynote presentations
 libev, A full-featured and high-performance event loop
 libevdev, Wrapper library for evdev devices
 libevent, Event notification library
 libexif, Library to parse an EXIF file and read the data from those tags
 libexttextcat, N-Gram-Based Text Categorization library primarily intended for language guessing
 libfdk-aac, Fraunhofer FDK AAC codec library
 libffi, Portable foreign function interface library
 libfm, Library for file management
 libfm-extra, Extra library for file management
 libfm-gtk2, GTK+ 2 library for file management
 libfontenc, X11 font encoding library
 libfreeaptx, Open Source aptX codec library
